lag_days,mean_LLM,days_flagged,em_type
0,2.420289855072464,69,Any_EM
1,3.161764705882353,68,Any_EM
2,3.088235294117647,68,Any_EM
3,2.823529411764706,68,Any_EM
0,2.787878787878788,33,Solar
1,3.25,32,Solar
2,3.15625,32,Solar
3,3.125,32,Solar
0,3.7142857142857144,7,Geomagnetic
1,4.571428571428571,7,Geomagnetic
2,4.571428571428571,7,Geomagnetic
3,3.7142857142857144,7,Geomagnetic
0,1.5555555555555556,27,Schumann
1,2.2962962962962963,27,Schumann
2,2.6666666666666665,27,Schumann
3,2.259259259259259,27,Schumann
0,2.3,10,Other
1,3.6,10,Other
2,3.6,10,Other
3,3.1,10,Other
